"contacts","social","laws","citizenship","workpermit","employment","attitude","reputation","destination","candidate","id","gender","age","children","educ","prewar","satisfaction","migmotivation","miglikely","prefchar","prefcountry","incentivised","t_choice"
"No contacts","Free healthcare","No religious bans","After 3 years","After 12 months","3 in 4 Syrians unemployed after one year","1 in 4 people oppose taking in refugees","Bad country for Syrians",0,1,4,"Male","18 - 29","No","Diploma or technical certificate (2-year)","0",2,1,3,"Education opportunities","Germany","0","52.755"
"Family","Generous support for refugees","Ban on hijab in schools","After 8 years","After 3 months","1 in 4 Syrians employed after one year","3 in 4 people support taking in refugees","Welcoming to foreigners",0,1,6,"Male","18 - 29","No","Bachelor's degree (4-year)","0",4,1,5,"Citizenship and rights","Other / Prefer not to answer","0","217.269"
"Friends","Generous support for refugees","No religious bans","After 8 years","After 12 months","Half of all Syrians unemployed after one year","1 in 4 people oppose taking in refugees","Has many well-known brands",0,1,7,"Male","18 - 29","No","Bachelor's degree (4-year)","1",4,1,5,"Employment / career opportunities","USA","0","60.396"
"Family","Free healthcare","No religious bans","After 3 years","Immediately","1 in 4 Syrians employed after one year","3 in 4 people support taking in refugees","Bad country for Syrians",1,1,11,"Male","18 - 29","No","Master's degree or higher","0",5,1,6,"Language and culture","Canada","0","122.312"
"Other Syrians","Free housing","Ban on hijab in schools","After 5 years","After 3 months","1 in 4 Syrians employed after one year","3 in 4 people support taking in refugees","Has many well-known brands",1,1,14,"Female","18 - 29","No","Bachelor's degree (4-year)","0",8,3,4,"Citizenship and rights","Canada","0","61.613"
"Friends","No minimum wage","Ban on immigration from Muslim countries","After 3 years","After 12 months","Half of all Syrians unemployed after one year","3 in 4 people support taking in refugees","Bad country for Syrians",0,1,15,"Female","50-59","Yes","Bachelor's degree (4-year)","0",5,6,3,"Citizenship and rights","USA","0","44.454"
"Friends","Free housing","Ban on hijab in schools","After 5 years","After 12 months","1 in 4 Syrians employed after one year","3 in 4 people support taking in refugees","Bad country for Syrians",0,1,16,"Female","60 or older","No","Diploma or technical certificate (2-year)","0",5,6,3,"Friends / family / relatives in the country","Canada","0","23.95"
"Other Syrians","Free housing","Ban on hijab in schools","After 3 years","After 3 months","Half of all Syrians unemployed after one year","Half the population supports restricting immigration of Muslims","Good country for Syrians",0,1,19,"Female","30-39","Yes","Bachelor's degree (4-year)","0",4,1,3,"Social benefits and healthcare","Canada","0","8.216"
"Friends","Free healthcare","No religious bans","After 5 years","Immediately","1 in 4 Syrians employed after one year","3 in 4 people support taking in refugees","Good country for Syrians",1,1,21,"Male","18 - 29","Yes","Less than high school degree","0",2,1,5,"Asylum policies (e.g. family reunification, resettlement)","Canada","0","45.667"
"No contacts","Free housing","No religious bans","After 8 years","After 3 months","Half of all Syrians unemployed after one year","Half the population supports restricting immigration of Muslims","Has many well-known brands",1,1,23,"Female","18 - 29","No","Bachelor's degree (4-year)","0",5,1,2,"Employment / career opportunities","Canada","0","20.285"
"No contacts","No minimum wage","Ban on hijab in schools","After 3 years","After 12 months","Half of all Syrians unemployed after one year","3 in 4 people support taking in refugees","Good country for Syrians",1,1,27,NA,"18 - 29","No","Some college but no degree","0",2,3,4,"Education opportunities","Canada","0","40.62"
"Family","Free housing","Ban on immigration from Muslim countries","After 3 years","Immediately","Half of all Syrians employed after one year","1 in 4 people support restricting immigration of Muslims","Welcoming to foreigners",1,1,28,"Male","40-49","Yes","Less than high school degree","0",7,1,NA,"Citizenship and rights","UK","0","29.667"
"Friends","Free healthcare","Ban on hijab in schools","After 8 years","After 3 months","Half of all Syrians employed after one year","1 in 4 people oppose taking in refugees","Bad country for Syrians",0,1,29,"Male","18 - 29","No","Some college but no degree","0",2,1,3,"Citizenship and rights","UK","0","30.638"
"Other Syrians","Generous support for refugees","Ban on nikab and burka in public","After 8 years","Immediately","Half of all Syrians unemployed after one year","Half the population supports restricting immigration of Muslims","Welcoming to foreigners",0,1,32,"Male","18 - 29","No","High school graduate (Baccalaureate / Tawjihi)","0",2,1,NA,"Good reputation","Canada","0","20.577"
"No contacts","Generous support for refugees","No religious bans","After 5 years","After 12 months","Half of all Syrians employed after one year","3 in 4 people support taking in refugees","Welcoming to foreigners",1,1,33,"Male","40-49","Yes","Bachelor's degree (4-year)","0",7,3,6,"Citizenship and rights","UK","0","11.54"
"Other Syrians","Generous support for refugees","Ban on immigration from Muslim countries","After 5 years","Immediately","1 in 4 Syrians employed after one year","3 in 4 people support taking in refugees","Bad country for Syrians",1,1,35,"Male","18 - 29","No","Bachelor's degree (4-year)","1",2,1,NA,"Citizenship and rights","USA","0","27.073"
"Friends","Free housing","Ban on nikab and burka in public","After 3 years","After 12 months","1 in 4 Syrians employed after one year","1 in 4 people oppose taking in refugees","Has many well-known brands",0,1,39,"Male","40-49","Yes","Less than high school degree","0",8,4,3,"Citizenship and rights","Canada","0","13.768"
"Other Syrians","No minimum wage","Ban on immigration from Muslim countries","After 3 years","After 12 months","1 in 4 Syrians employed after one year","3 in 4 people support taking in refugees","Welcoming to foreigners",1,1,40,"Male","30-39","Yes","Bachelor's degree (4-year)","0",5,3,NA,"Employment / career opportunities","Canada","0","16.418"
"No contacts","No minimum wage","No religious bans","After 5 years","After 3 months","Half of all Syrians employed after one year","1 in 4 people support restricting immigration of Muslims","Has many well-known brands",1,1,43,"Male","30-39","Yes","Less than high school degree","0",2,1,NA,"Asylum policies (e.g. family reunification, resettlement)","Germany","0","38.053"
"Other Syrians","No minimum wage","Ban on immigration from Muslim countries","After 3 years","Immediately","Half of all Syrians unemployed after one year","Half the population supports restricting immigration of Muslims","Welcoming to foreigners",0,1,44,"Male","18 - 29","No","Some college but no degree","0",5,1,5,"Asylum policies (e.g. family reunification, resettlement)","Canada","0","24.773"
"Friends","No minimum wage","No religious bans","After 5 years","After 3 months","Half of all Syrians unemployed after one year","Half the population supports restricting immigration of Muslims","Good country for Syrians",0,1,45,"Male","30-39","Yes","Bachelor's degree (4-year)","0",2,1,5,"Asylum policies (e.g. family reunification, resettlement)","USA","0","16.207"
"Family","No minimum wage","Ban on hijab in schools","After 8 years","After 12 months","Half of all Syrians unemployed after one year","3 in 4 people support taking in refugees","Good country for Syrians",0,1,47,"Male","18 - 29","No","Bachelor's degree (4-year)","0",4,3,6,"Education opportunities","Germany","0","20.535"
"No contacts","Generous support for refugees","Ban on immigration from Muslim countries","After 5 years","After 3 months","Half of all Syrians unemployed after one year","1 in 4 people oppose taking in refugees","Has many well-known brands",1,1,50,"Female","40-49","No","Bachelor's degree (4-year)","0",5,6,6,"Asylum policies (e.g. family reunification, resettlement)","Other / Prefer not to answer","0","36.842"
"Other Syrians","Free healthcare","Ban on immigration from Muslim countries","After 5 years","After 12 months","1 in 4 Syrians employed after one year","1 in 4 people oppose taking in refugees","Welcoming to foreigners",1,1,52,"Male","40-49","Yes","Less than high school degree","0",NA,1,6,"Asylum policies (e.g. family reunification, resettlement)","Canada","0","35.362"
"Other Syrians","Generous support for refugees","Ban on immigration from Muslim countries","After 3 years","Immediately","3 in 4 Syrians unemployed after one year","Half the population supports restricting immigration of Muslims","Has many well-known brands",0,1,53,"Male","30-39","Yes","Some college but no degree","0",4,1,3,"Asylum policies (e.g. family reunification, resettlement)","Canada","0","63.042"
"No contacts","Free healthcare","Ban on immigration from Muslim countries","After 8 years","Immediately","3 in 4 Syrians unemployed after one year","1 in 4 people oppose taking in refugees","Bad country for Syrians",0,1,56,"Male","18 - 29","No","High school graduate (Baccalaureate / Tawjihi)","0",2,1,3,"Education opportunities","Canada","0","85.247"
"Family","Free healthcare","Ban on hijab in schools","After 3 years","Immediately","1 in 4 Syrians employed after one year","1 in 4 people oppose taking in refugees","Good country for Syrians",1,1,57,"Male",NA,NA,"Diploma or technical certificate (2-year)",NA,8,4,3,"Social benefits and healthcare","UK","0","34.752"
"Family","Generous support for refugees","Ban on immigration from Muslim countries","After 3 years","Immediately","Half of all Syrians unemployed after one year","1 in 4 people oppose taking in refugees","Has many well-known brands",1,1,58,"Male","40-49","Yes","Less than high school degree","0",4,3,4,"Language and culture","Canada","0","11.52"
"Family","Free healthcare","Ban on immigration from Muslim countries","After 5 years","Immediately","3 in 4 Syrians unemployed after one year","3 in 4 people support taking in refugees","Bad country for Syrians",1,1,60,"Male","30-39","Yes","Diploma or technical certificate (2-year)","1",NA,1,NA,"Friends / family / relatives in the country","Germany","0","4.416"
"Other Syrians","Free housing","Ban on immigration from Muslim countries","After 8 years","After 3 months","3 in 4 Syrians unemployed after one year","1 in 4 people oppose taking in refugees","Has many well-known brands",0,1,64,"Male","30-39","Yes","Some college but no degree","0",7,1,NA,"Citizenship and rights","USA","0","2.109"
"Other Syrians","No minimum wage","Ban on nikab and burka in public","After 3 years","After 12 months","1 in 4 Syrians employed after one year","3 in 4 people support taking in refugees","Welcoming to foreigners",1,1,65,"Male","30-39","Yes","High school graduate (Baccalaureate / Tawjihi)","0",4,1,NA,"Education opportunities","Canada","0","5.165"
"No contacts","No minimum wage","Ban on nikab and burka in public","After 8 years","After 3 months","Half of all Syrians employed after one year","1 in 4 people oppose taking in refugees","Good country for Syrians",0,1,68,"Male","18 - 29","No","Bachelor's degree (4-year)","0",7,1,4,"Citizenship and rights","Canada","0","204.795"
"Family","Free housing","Ban on hijab in schools","After 3 years","After 3 months","Half of all Syrians unemployed after one year","Half the population supports restricting immigration of Muslims","Bad country for Syrians",0,1,70,"Male","18 - 29","No","Less than high school degree","0",8,1,5,"Friends / family / relatives in the country","Canada","0","24.853"
"Other Syrians","Free housing","No religious bans","After 5 years","Immediately","3 in 4 Syrians unemployed after one year","3 in 4 people support taking in refugees","Good country for Syrians",1,1,72,"Male","30-39","Yes","High school graduate (Baccalaureate / Tawjihi)","0",4,1,2,"Citizenship and rights","UK","0","18.417"
"No contacts","Free housing","Ban on nikab and burka in public","After 5 years","Immediately","Half of all Syrians employed after one year","1 in 4 people oppose taking in refugees","Has many well-known brands",1,1,73,"Female","18 - 29","Yes","High school graduate (Baccalaureate / Tawjihi)","0",4,1,3,"Education opportunities","UK","0","29.08"
"Friends","Generous support for refugees","Ban on immigration from Muslim countries","After 3 years","Immediately","3 in 4 Syrians unemployed after one year","1 in 4 people oppose taking in refugees","Welcoming to foreigners",1,1,76,"Male","30-39","Yes","High school graduate (Baccalaureate / Tawjihi)","0",7,1,6,"Employment / career opportunities","UK","0","297.979"
"Family","Free housing","Ban on hijab in schools","After 5 years","Immediately","1 in 4 Syrians employed after one year","1 in 4 people support restricting immigration of Muslims","Has many well-known brands",1,1,80,"Male",NA,NA,"Some college but no degree",NA,4,1,3,"Language and culture","Other / Prefer not to answer","0","55.359"
"Family","No minimum wage","Ban on immigration from Muslim countries","After 8 years","After 12 months","Half of all Syrians unemployed after one year","Half the population supports restricting immigration of Muslims","Welcoming to foreigners",0,1,81,"Male","30-39","No","Bachelor's degree (4-year)","0",7,1,5,"Citizenship and rights","Canada","0","29.599"
"Other Syrians","Generous support for refugees","Ban on hijab in schools","After 8 years","After 12 months","3 in 4 Syrians unemployed after one year","Half the population supports restricting immigration of Muslims","Good country for Syrians",1,1,83,"Male","18 - 29","No","Bachelor's degree (4-year)","0",2,1,2,"Citizenship and rights","Germany","0","55.613"
"Other Syrians","Free housing","Ban on hijab in schools","After 5 years","After 12 months","Half of all Syrians employed after one year","Half the population supports restricting immigration of Muslims","Bad country for Syrians",0,1,86,"Male","40-49","Yes","Master's degree or higher","1",7,1,4,"Citizenship and rights","USA","0","124.458"
