"contacts","social","laws","citizenship","workpermit","employment","attitude","country","destination","candidate","c.same","id","gender","age","children","educ","prewar","satisfaction","migmotivation","miglikely","prefchar","prefcountry","incentivised","t_choice"
"Other Syrians","Free housing","Ban on hijab in schools","After 3 years","Immediately","1 in 4 Syrians employed after one year","1 in 4 people support restricting immigration of Muslims","United Kingdom (UK)",1,1,0,1,"Male","40-49","Yes","Bachelor's degree (4-year)","0",7,1,6,"Citizenship and rights","UK","0","132.656"
"Friends","Generous support for refugees","Ban on immigration from Muslim countries","After 3 years","After 3 months","3 in 4 Syrians unemployed after one year","1 in 4 people oppose taking in refugees","Germany",1,1,0,2,"Male","50-59","Yes","Bachelor's degree (4-year)","0",NA,3,4,"Citizenship and rights","UK","0","52.557"
"No contacts","Free healthcare","Ban on nikab and burka in public","After 5 years","After 12 months","3 in 4 Syrians unemployed after one year","1 in 4 people oppose taking in refugees","Germany",0,1,0,3,"Male","30-39","No","Bachelor's degree (4-year)","0",2,1,2,"Citizenship and rights","Canada","0","51.288"
"Family","Generous support for refugees","No religious bans","After 8 years","Immediately","Half of all Syrians unemployed after one year","Half the population supports restricting immigration of Muslims","Canada",1,1,0,5,"Male","18 - 29","No","Bachelor's degree (4-year)","0",2,1,5,"Employment / career opportunities","Canada","0","32.747"
"Friends","Generous support for refugees","Ban on nikab and burka in public","After 3 years","After 3 months","Half of all Syrians unemployed after one year","1 in 4 people oppose taking in refugees","Germany",1,1,0,8,"Male","18 - 29","No","Bachelor's degree (4-year)","0",2,1,2,"Employment / career opportunities","Germany","0","66.097"
"Other Syrians","Generous support for refugees","Ban on nikab and burka in public","After 8 years","After 12 months","Half of all Syrians employed after one year","1 in 4 people support restricting immigration of Muslims","Canada",1,1,0,9,"Female","30-39","Yes","High school graduate (Baccalaureate / Tawjihi)","0",8,1,4,"Employment / career opportunities","Canada","0","66.371"
"No contacts","Free housing","Ban on immigration from Muslim countries","After 5 years","Immediately","Half of all Syrians employed after one year","Half the population supports restricting immigration of Muslims","United Kingdom (UK)",0,1,1,10,"Male","30-39","Yes","Diploma or technical certificate (2-year)","0",2,1,2,"Citizenship and rights","Canada","0","45.053"
"Other Syrians","Generous support for refugees","Ban on nikab and burka in public","After 5 years","After 3 months","Half of all Syrians employed after one year","1 in 4 people support restricting immigration of Muslims","United States of America (USA)",1,1,0,12,"Male","50-59","Yes","Bachelor's degree (4-year)","0",2,3,3,"Employment / career opportunities","USA","0","113.005"
"Family","Free healthcare","Ban on nikab and burka in public","After 5 years","After 12 months","1 in 4 Syrians employed after one year","Half the population supports restricting immigration of Muslims","Canada",0,1,1,13,"Male","18 - 29","No","Bachelor's degree (4-year)","0",8,2,3,"Citizenship and rights","Canada","0","73.594"
"Family","No minimum wage","No religious bans","After 3 years","Immediately","Half of all Syrians unemployed after one year","1 in 4 people oppose taking in refugees","France",1,1,0,17,"Male","18 - 29","No","Master's degree or higher","0",5,4,4,"Friends / family / relatives in the country","UK","0","4.374"
